Struct	d.	Sect.	Sub-Sect.	Latin	English (Lodge)
x		1	1	deus, -ī, m.	god
xx		1	1	dea, -ae, f.	goddess
xx		1	1	dīvīnus, -a, -um	divine, godlike, inspired
xx		1	1	dīvus, -a, -um	divine, godlike; (noun) god, goddess
xx	d.	1	1	dīves, -itis	rich
x		1	1	nympha, -ae, f.	nymph
x		1	1	religiō, -ōnis, f.	conscientiousness, sense of right; scruples; (in various fig. senses) obligation, superstition
x		1	1	templum, -ī, n.	place marked off for augury; holy ground; shrine, temple
x		1	1	āra, -ae, f.	altar
x		1	1	vātēs, -is, mf.	prophet, soothsayer, seer, bard
x		1	1	vōtum, -ī, n.	solemn promise (made to some deity), vow; a thing solemnly promised, that which is vowed/devoted, a votive offering; wish, desire, longing
xx		1	1	dēvoveō, -ēre, -vōvī, -vōtum	to set apart by vows, devote
x		1	1	nūmen, -inis, n.	divine help, glory; deity
x		1	1	fātum, -ī, n.	fate (lit. that which is spoken)
xx		1	1	fortūna, -ae, f.	fortune
xx		1	1	sors, sortis, f.	lot; fate, destiny, oracle, success
x		1	2	tempus, -oris, n.	I. limited duration of time; time in all senses, including opportunity, occasion; II. temple (part of forehead)
x		1	2	aetās, -ātis, f.	age, time of life
xx		1	2	aevum, -ī, n.	lifetime, age, old age (properly eternity)
xx		1	2	saeculum, -ī, n.	a generation; age, esp. century; time in general
x		1	2	aestās, -ātis, f.	summer (divided into inita/prima/nova, media, and exacta)
xx	d.	1	2	aestus, -ūs, m.	(of fire) heat; (of water) tide; (fig) heat of fever or passion; (lit.) a boiling or waving motion
x		1	2	vēr, vēris, n.	spring
xx		1	2	vernus, -a, -um	of or belonging to spring, spring-
x		1	2	hiems[hiemps], hiemis, f.	winter (divided into inita/media/extrema)
x		1	2	annus, -ī, m.	year
x		1	2	mēnsis, -is, m.	month
xx	d.	1	2	mēnsa, -ae, f.	table
x		1	2	diēs, -ēī, m.	day
x		1	2	nox, noctis, f.	night
xx		1	2	nocturnus, -a, -um	occurring at night, nightly
xx		1	2	tenebrae, -ārum, f. (pl.)	darkness
xx		1	2	umbra, -ae, f.	shade, shadow (in all its lit. and fig. senses)
xx		1	2	somnus, -ī, m.	sleep, slumber; (pl. also) dreams
xx		1	2	somnium, -ī, n.	dream
x		1	2	hōra, -ae, f.	hour
x		1	2	mora, -ae, f.	delay; hindrance
xx		1	2	moror, -ārī, -ātus sum	to delay
x		1	3	mundus, -ī, m.	universe, the world; the earth (the inhabitants of the earth, mankind)
xx	d.	1	3	mundus, -a, -um	fine, elegant; clean
xx		1	3	orbis, -is, m.	circle, round, orbit; (~ terrarum) world
xx		1	3	caelum, -ī, n.	sky; heavens
x		1	3	caelestis, -e	from heaven; (as subst.) the gods
xx		1	3	caeruleus, -a, -um	dark blue, dark green, dark
xx		1	3	polus, -ī, m.	pole (i.e. extremity of either axis); sky, heavens
x		1	3	sīdus, -eris, n.	star; constellation; (pl. also) weather
xx		1	3	stēlla, -ae, f.	star
xx		1	3	astrum, -ī, n.	star; constellation
x		1	3	sōl, sōlis, m.	sun
x		1	3	āēr, āeris, m.	air
xx	d.	1	3	aes, aeris, n.	copper, bronze; anything made of of bronze (as prow, cymbal, trumpet, tablet)
x		1	3	aethēr, -eris, m.	pure upper air, ether, heaven, sky
x		1	3	aura, -ae, f.	air, breeze, gale
xx	d.	1	3	auris, -is, f.	ear
xx	d.	1	3	aurum, -ī, n.	gold; gold plate; money
x		1	3	ventus, -ī, m.	wind
x		1	3	nūbēs, -is, f.	cloud (esp. storm cloud); (fig.) crowd, throng
x		1	3	tempestās, -ātis, f.	period of time, weather, season; esp. bad weather, storm; (fig.) calamity
// DN
xx		1	3	imber, -bris, m. (gen. pl. -ium)	rain-storm, shower
// DN
x		1	3	nix, nivis, f. (gen. pl. -ium)	snow
xx		1	3	niveus, -a, -um	snow-like, snow-white
x		1	4	ignis, -is, m.	fire
x		1	4	incendium, -ī, n.	conflagration; (esp. common in fig. sense) glow, heat, ruin
xx		1	4	accendō, -ere, -cendī, -cēnsum	(lit.) to kindle from above (usually of stimulation of the emotions by rumor, gloria, furor)
x		1	4	flamma, -ae, f.	flame, fire (in various fig. senses)
x		1	4	cinis, -eris, m.	ashes, embers
x		1	4	fax, facis, f.	torch (both lit. and fig.)
x		1	4	focus, -ī, m.	fire-place, hearth; home
x		1	5	aqua, -ae, f.	water
xx		1	5	aequor, -oris, n.	sea; (occasionally) plain; (lit. a level surface)
x		1	5	mare, -is, n.	sea (in its broad sense as opposed to terra and aer)
xx		1	5	pontus, -ī, m.	the open sea, deep
xx	d.	1	5	pōns, pontis, m.	bridge
xx		1	5	pelagus, -ī, n.	sea (esp. the open sea)
x		1	5	ōra, -ae, f.	coast
xx		1	5	rīpa, -ae, f.	bank (of a river)
xx		1	5	lītus, -oris, n.	beach, shore
x		1	5	aestus, -ūs, m.	(of fire) heat; (of water) tide; (fig) heat of fever or passion; (lit.) a boiling or waving motion
xx	d.	1	5	aestās, -ātis, f.	summer (divided into inita/prima/nova, media, exacta)
xx		1	5	unda, -ae, f.	wave, billow; sea
x		1	5	sinus, -ūs, m.	fold (in various lit. and fig. senses); bosom (of a robe); gulf, bay (of water)
x		1	5	fretum, -ī, n.	strait (of water)
x		1	5	gurges, -itis, m.	gulf, whirlpool; sea
x		1	5	rīvus, -ī, m.	brook, rivulet
xx		1	5	amnis, -is, m.	river, torrent (a poetic word rare except in nom. and acc. cases)
// DN
x		1	5	lacus, -ūs, -m. (dat./abl. pl. -ubus)	lake
x		1	5	fōns, fontis, m.	spring, fountain
x		1	5	pōns, pontis, m.	bridge
xx	d.	1	5	pontus, -ī, m.	the open sea, deep
x		1	5	nāvis, -is, f.	ship
xx		1	5	ratis, -is, f.	raft; (loosely) ship, vessel
xx		1	5	classis, -is, f.	(properly) class, division (of people, army); fleet
xx		1	5	vēlum, -ī, n.	a cloth, covering; esp. sail
x		1	6	terra, -ae, f.	land (as opp. to water, air)
xx		1	6	tellūs, -ūris, f.	Earth (the poetical word for terra)
xx		1	6	humus, -ī, f.	ground
x		1	6	rūs, rūris, n.	country; (pl.) lands, fields
xx		1	6	rūsticus, -a, -um	of the country, rural
x		1	6	ager, agrī, m.	cultivated land, field, country
xx		1	6	agricola, -ae, m.	cultivator of the field, farmer
xx		1	6	arvum, -ī, n.	plowed land, field; (pl.) fields
xx		1	6	campus, -ī, m.	plain, field
x		1	6	prātum, -ī, n.	meadow
x		1	6	mōns, montis, m.	mountain
x		1	6	rūpēs, -is, f.	crag, rock, cliff
x		1	6	collis, -is, m.	hill
x		1	6	vallēs, -is, f.	valley
xx		1	6	saltus, -ūs, m.	woodland, glade, defile, etc.
xx		1	6	antrum, -ī, n.	cave, cavern, grot
x		1	6	saxum, -ī, n.	rock; (often) cliff, crag
xx		1	6	lapis, -idis, m.	stone
xx		1	6	marmor, -oris, n.	marble
x		1	6	aes, aeris, n.	copper, bronze; anything made of bronze as prow, cymbals, trumpet, tablet, etc.
xx	d.	1	6	āēr, āeris, m.	air; (rarely) mist
x		1	6	aurum, -ī, n.	gold; gold plate; money
xx	d.	1	6	aura, -ae, f.	air, breeze, gale
xx	d.	1	6	auris, -is, f.	ear
xx		1	6	aureus, -a, -um	of gold, golden; (fig.) splendid
xx		1	6	ferrum, -ī, n.	iron; any weapon or implement of iron
x		1	7	silva, -ae, f.	forest, grove
xx		1	7	nemus, -oris, n.	open wood, glade, grove, forest; (lit.) grazing ground
xx		1	7	lūcus, -ī, m.	sacred grove; grove
xx	d.	1	7	lūctus, -ūs, m.	grief, mourning (esp. as shown by outward signs)
x		1	7	arbor, -oris, f.	tree
x		1	7	frōns, frondis, f.	leaf; leafage, foliage
xx	d.	1	7	frōns, frontis, f.	forehead, brow; front (of locality)
xx		1	7	folium, -ī, n.	leaf
x		1	7	rāmus, -ī, m.	branch, bough (of a tree)
x		1	7	rōbur, -oris, n.	oak, oak tree; timber in general; (fig.) strength
x		1	7	palma, -ae, f.	palm (of hand); anything resembling hands, esp. blade of oar, palm-tree, palm-branch, wreath of palm; victory
x		1	7	grāmen, -inis, n.	grass; meadow
xx		1	7	herba, -ae, f.	herb; grass, turf, plan; (also) meadow
x		1	7	hortus, -ī, m.	garden (in the widest sense of the term); pleasure-garden, fruit-garden, kitchen-garden, vineyard
x		1	7	sēmen, -inis, n.	seed (both lit. and fig.)
